text,label
中国女排3-0击败巴西队斩获世联赛冠军,体育
国足世预赛客场逼平韩国队拿到关键1分,体育
CBA总决赛辽宁队4-0横扫浙江队夺冠,体育
乒乓球亚锦赛中国包揽男女团金牌,体育
世界杯预选赛欧洲区法国队大胜晋级,体育
梅西在联赛中上演帽子戏法率队取胜,体育
NBA常规赛湖人击败勇士取得三连胜,体育
马拉松赛事在北京鸣枪开跑万人参与,体育
短道速滑世界杯中国队摘得两金一银,体育
网球公开赛中国选手晋级女单八强,体育
华为发布新一代旗舰手机搭载自研芯片,科技
人工智能大模型在医疗诊断领域取得突破,科技
阿里云推出全新高性能云计算服务器,科技
5G技术全面普及推动物联网产业发展,科技
量子计算机研发取得重大进展算力翻倍,科技
新能源汽车自动驾驶技术迎来更新迭代,科技
国产大模型支持多轮对话与工具调用,科技
程序员用Python开发自动化办公系统,科技
虚拟现实技术应用于在线教育场景,科技
区块链技术保障数字资产安全交易,科技
央行下调存款准备金率释放长期流动性,财经
上证指数震荡上行收复3200点关口,财经
人民币汇率保持稳定跨境贸易结算增长,财经
新能源产业获政策支持企业盈利改善,财经
茅台发布年报净利润同比增长超百分之十,财经
全球油价上涨国内成品油价格上调,财经
房地产新政出台支持刚需群体购房,财经
银行下调存款利率居民理财需求提升,财经
跨境电商进出口规模持续快速增长,财经
专精特新企业获得信贷支持力度加大,财经
春节档电影总票房突破60亿创历史新高,娱乐
某古装剧开播即登顶热度榜播放量破亿,娱乐
周杰伦发布新专辑主打歌霸榜各大平台,娱乐
德云社相声巡演北京站门票售罄,娱乐
某选秀节目总决赛成团名单正式公布,娱乐
戛纳电影节中国影片斩获最佳编剧奖,娱乐
综艺节目新一季录制嘉宾阵容曝光,娱乐
某顶流歌手举办线上演唱会观看人数破千万,娱乐
悬疑网剧第二季开播口碑持续走高,娱乐
华语电影海外发行覆盖国家数量创新高,娱乐